dataset,horizon,model,seed,mse,mae,run_id,name,model_type
ILI,60,FRWKV,2033,1.680321,0.800029,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2033,frwkv
ILI,60,FRWKV,2034,1.687569,0.793447,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2034,frwkv
ILI,60,FRWKV,2035,1.692085,0.798558,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2035,frwkv
ILI,60,FRWKV,2036,1.692789,0.798514,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2036,frwkv
ILI,60,FRWKV,2037,1.653163,0.791589,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2037,frwkv
ILI,60,FRWKV,2038,1.706827,0.806858,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2038,frwkv
ILI,60,FRWKV,2039,1.665122,0.795925,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2039,frwkv
ILI,60,FullContextDelta,2024,1.688863,0.800485,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2024,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2025,1.652417,0.792106,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2025,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2026,1.695034,0.805348,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2026,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2027,1.701385,0.797057,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2027,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2028,1.653658,0.789998,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2028,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2029,1.677803,0.801526,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2029,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2030,1.653249,0.784765,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2030,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,FullContextDelta,2031,1.696064,0.806296,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl60_seed2031,frwkv_crossbranchphasegate_fullcontextdelta
