dataset,horizon,model,display_label,seed,mse,mae,run_id,source_file,source_kind,model_type,model_tag,config_name,selection_rule,candidate_count
Weather,720,FRWKV,FRWKV,2028,0.341823,0.335278,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_weather_pl720_seed2028.json,status_json,frwkv,kbs_fullabl16_frwkv_weather_pl720_seed2028,,best_single_run_by_mse_then_mae,32
Weather,720,CrossBranchGate,CrossBranchGate,2034,0.341078,0.334669,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_weather_pl720_seed2034.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_weather_pl720_seed2034,,best_single_run_by_mse_then_mae,32
Weather,720,CrossBranchPhaseGate,CrossBranchPhaseGate,2039,0.342125,0.335552,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_weather_pl720_seed2039.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_weather_pl720_seed2039,,best_single_run_by_mse_then_mae,32
Exchange,192,Ours(selected),Ours(selected),2027,0.172078,0.295598,parallel_run_20260411_220655,experiment_runner/parallel_run_20260411_220655/logs/kbs_ablation_frwkv_crossbranchphasegate_adaptive_exchange_pl192_seed2027.log,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_ablation_frwkv_crossbranchphasegate_adaptive_exchange_pl192_seed2027,,selected_system_audit_exact,1
Exchange,192,FRWKV,FRWKV,2031,0.171451,0.293754,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_exchange_pl192_seed2031.json,status_json,frwkv,kbs_fullabl16_frwkv_exchange_pl192_seed2031,,best_single_run_by_mse_then_mae,57
Exchange,192,CrossBranchGate,CrossBranchGate,2029,0.173569,0.296024,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_exchange_pl192_seed2029.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_exchange_pl192_seed2029,,best_single_run_by_mse_then_mae,57
Exchange,192,CrossBranchPhaseGate,CrossBranchPhaseGate,2028,0.174945,0.297236,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_crossbranchphasegate_exchange_pl192_seed2028_es16.json,status_json,frwkv_crossbranchphasegate,kbs_ablation_frwkv_crossbranchphasegate_exchange_pl192_seed2028_es16,,best_single_run_by_mse_then_mae,67
Exchange,336,Ours(selected),Ours(selected),2033,0.315031,0.404994,parallel_run_20260418_232012,experiment_runner/parallel_run_20260418_232012/status/kbs_release_anchor_exchange336_a_l1l2_r4_a02_b30_seed2033.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_release_anchor_exchange336_a_l1l2_r4_a02_b30_seed2033,,selected_system_audit_exact,1
Exchange,336,FRWKV,FRWKV,2026,0.321252,0.406821,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_exchange_pl336_seed2026.json,status_json,frwkv,kbs_fullabl16_frwkv_exchange_pl336_seed2026,,best_single_run_by_mse_then_mae,92
Exchange,336,CrossBranchGate,CrossBranchGate,2033,0.330749,0.414513,parallel_run_20260418_191752,experiment_runner/parallel_run_20260418_191752/status/kbs_search_exchange_pl336_frwkv_crossbranchgate_es1_l1_base_seed2033.json,status_json,frwkv_crossbranchgate,kbs_search_exchange_pl336_frwkv_crossbranchgate_es1_l1_base_seed2033,,best_single_run_by_mse_then_mae,92
Exchange,336,CrossBranchPhaseGate,CrossBranchPhaseGate,2038,0.331565,0.415426,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_exchange_pl336_seed2038.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_exchange_pl336_seed2038,,best_single_run_by_mse_then_mae,80
ILI,36,Ours(selected),Ours(selected),2025,1.391716,0.714074,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_crossbranchphasegate_adaptive_ili_pl36_seed2025_es16.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_ablation_frwkv_crossbranchphasegate_adaptive_ili_pl36_seed2025_es16,,selected_system_audit_exact,1
ILI,36,FRWKV,FRWKV,2039,1.438807,0.727225,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ili_pl36_seed2039.json,status_json,frwkv,kbs_fullabl16_frwkv_ili_pl36_seed2039,,best_single_run_by_mse_then_mae,72
ILI,36,CrossBranchGate,CrossBranchGate,2024,1.426224,0.719247,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_crossbranchgate_ili_pl36_seed2024_es16.json,status_json,frwkv_crossbranchgate,kbs_ablation_frwkv_crossbranchgate_ili_pl36_seed2024_es16,,best_single_run_by_mse_then_mae,57
ILI,36,CrossBranchPhaseGate,CrossBranchPhaseGate,2024,1.409921,0.715420,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_ablation_frwkv_crossbranchphasegate_ili_pl36_seed2024_es16.json,status_json,frwkv_crossbranchphasegate,kbs_ablation_frwkv_crossbranchphasegate_ili_pl36_seed2024_es16,,best_single_run_by_mse_then_mae,67
